gds_sclsf_nm,month,grade,vwap_grade,vwap_all,ratio,n
로얄부사,1,등외,2624.061470911087,3540.0880281690143,0.7412418702673589,135
로얄부사,1,특,3972.9967380513403,3540.0880281690143,1.1222875551222473,213
로얄부사,3,특,3470.583832335329,2928.3663003663005,1.1851604192758278,65
로얄부사,4,등외,2601.6901408450703,3467.703747769185,0.750263093414127,30
로얄부사,4,특,3766.629129129129,3467.703747769185,1.0862026871679122,117
로얄부사,5,상,1762.8877005347595,2876.7992351816442,0.6127948307882002,34
로얄부사,5,특,4007.7076411960134,2876.7992351816442,1.3931134269586811,127
로얄부사,6,특,5522.0,4960.993303571428,1.1130835423673524,89
로얄부사,12,특,4905.972222222223,3670.065789473684,1.336753209245815,56
로얄후지,1,보통,1383.5294117647059,4005.1166250464908,0.3454404805874151,36
로얄후지,1,상,2156.3451776649745,4005.1166250464908,0.538397599755274,87
로얄후지,1,특,4279.686269759554,4005.1166250464908,1.0685547189802185,370
로얄후지,2,특,3319.4014084507044,3206.9329073482427,1.035070425341533,146
로얄후지,3,특,3305.963528831937,3259.164292497626,1.0143592749963664,84
로얄후지,4,특,3824.5508982035926,3824.5508982035926,1.0,31
로얄후지,5,특,3513.3858267716537,3513.3858267716537,1.0,39
미시마,1,4등,4345.917159763314,3368.49589333703,1.2901654914763732,33
미시마,1,등외,2860.0356995743514,3368.49589333703,0.8490542337402205,60
미시마,1,무등급,2613.0458015267177,3368.49589333703,0.7757307368833041,48
미시마,1,보통,2156.3376081121382,3368.49589333703,0.6401485043747355,57
미시마,1,상,3513.2825484764544,3368.49589333703,1.0429825832431074,209
미시마,1,특,3443.656403189914,3368.49589333703,1.0223127806097532,1751
미시마,2,등외,1932.7528901734104,2540.9573596407854,0.7606396395595726,41
미시마,2,상,1546.139344262295,2540.9573596407854,0.6084869304854735,88
미시마,2,특,2697.757595641454,2540.9573596407854,1.0617091173945694,635
미시마,3,등외,2308.492699010834,2790.2125052322513,0.8273537211527477,34
미시마,3,무등급,2674.38566552901,2790.2125052322513,0.9584881655121104,30
미시마,3,보통,1613.2291666666667,2790.2125052322513,0.5781743016496104,31
미시마,3,상,2272.4166666666665,2790.2125052322513,0.8144242284074759,113
미시마,3,특,2866.863661852847,2790.2125052322513,1.0274714404285905,1001
미시마,4,등외,2371.6477272727275,3036.255512577299,0.7811094018433168,72
미시마,4,보통,1202.892561983471,3036.255512577299,0.3961763287050918,35
미시마,4,상,2055.393537696769,3036.255512577299,0.6769501213526216,125
미시마,4,특,3222.0125405601652,3036.255512577299,1.0611796428901954,1056
미시마,5,등외,2734.8208322050727,3570.1173141005156,0.7660310829012927,65
미시마,5,상,2413.0914826498424,3570.1173141005156,0.6759137782725261,109
미시마,5,특,3944.2102703754135,3570.1173141005156,1.1047844996010026,867
미시마,6,상,4122.36276849642,4957.175233476581,0.8315951271315686,63
미시마,6,특,5376.679367892482,4957.175233476581,1.0846256415514475,674
미시마,7,상,2485.6109134045078,5110.364679261169,0.48638621104509216,69
미시마,7,특,5841.796603627943,5110.364679261169,1.143127148505676,746
미시마,10,특,5139.238845144357,4948.407547169812,1.0385641837612363,47
미시마,11,등외,3148.393574297189,4662.876129553148,0.6752042059069036,40
미시마,11,상,2529.7509339975095,4662.876129553148,0.5425301602939945,160
미시마,11,특,4757.223542294005,4662.876129553148,1.0202337377445836,1582
미시마,12,등외,2329.856209150327,4757.728470392456,0.48969928058087375,52
미시마,12,상,3060.8800594132936,4757.728470392456,0.6433490432380239,164
미시마,12,특,5120.300088261253,4757.728470392456,1.0762068747985716,878
미안마,1,4등,4747.010750664565,3274.9076664303984,1.4495097981918794,692
미안마,1,6등,3412.3932417378387,3274.9076664303984,1.0419815119420748,675
미안마,1,7등,3040.3217429856227,3274.9076664303984,0.9283686908643531,590
미안마,1,8등,2431.032946044883,3274.9076664303984,0.7423210647934613,442
미안마,1,등외,2585.2050659492093,3274.9076664303984,0.7893978485100452,398
미안마,1,무등급,2649.5227606461085,3274.9076664303984,0.8090373929638296,1122
미안마,1,보통,1573.299140623219,3274.9076664303984,0.4804102285845793,827
미안마,1,상,3118.5528925619833,3274.9076664303984,0.9522567382674213,1700
미안마,1,특,3765.8145287111383,3274.9076664303984,1.14989945130753,3452
미안마,2,등외,1705.089628681178,2384.062820075111,0.715203313571854,208
미안마,2,무등급,2606.2974683544303,2384.062820075111,1.0932167753332598,33
미안마,2,보통,2096.237623762376,2384.062820075111,0.8792711358572057,74
미안마,2,상,2446.5606863487255,2384.062820075111,1.0262148571536573,261
미안마,2,특,2383.403848688546,2384.062820075111,0.9997235931112989,790
미안마,3,4등,4803.078781122259,2989.487545192212,1.606656227368039,309
미안마,3,5등,4535.899337153129,2989.487545192212,1.5172832362014368,338
미안마,3,6등,4292.7217752821125,2989.487545192212,1.43593900639787,717
미안마,3,7등,3417.708072487644,2989.487545192212,1.1432421178620094,732
미안마,3,8등,2593.0231941683232,2989.487545192212,0.8673804974830903,655
미안마,3,등외,2088.739389561134,2989.487545192212,0.6986947956750348,755
미안마,3,무등급,2827.1710133386423,2989.487545192212,0.9457042287683679,771
미안마,3,보통,1830.7958050586058,2989.487545192212,0.6124112502167635,1520
미안마,3,상,2856.771824088897,2989.487545192212,0.9556058625108665,2234
미안마,3,특,3372.0426581880206,2989.487545192212,1.127966786016903,1514
